rail_id	total_junc_counts	productive_counts	unproductive_counts	unprod_prod_ratio
106685	120613	107495	1587	0.0148
215357	644738	587458	3986	0.0068
219736	289918	262961	1097	0.0042
220443	123242	116376	490	0.0042
221752	238103	221374	1207	0.0055
26665	247930	223707	970	0.0043
433365	331146	296120	2692	0.0091
441495	106666	101970	719	0.0071
441535	318435	297838	1159	0.0039
465501	193987	183921	1057	0.0057
866529	213320	204506	1251	0.0061
885865	189704	180498	662	0.0037
111375	297939	271602	1966	0.0072
943534	588416	534222	3978	0.0074
107725	207348	186798	1020	0.0055
117014	107792	99813	919	0.0092
28975	319504	280928	1987	0.0071
434866	193203	171730	795	0.0046
443568	250347	207367	1130	0.0054
461532	315497	268079	1366	0.0051
471775	104871	83555	368	0.0044
108815	253938	231068	1173	0.0051
110884	394109	360133	1794	0.005
218396	487370	440769	3084	0.007
219739	279087	256298	997	0.0039
222603	306909	274192	1463	0.0053
222778	214953	195118	1195	0.0061
231722	165632	149499	969	0.0065
231758	484165	432346	2502	0.0058
233002	127694	124240	528	0.0042
233758	318140	286455	1621	0.0057
235870	280531	253960	1574	0.0062
235897	203374	186519	1001	0.0054
28875	204453	186228	1148	0.0062
29351	207771	190625	1438	0.0075
427198	335205	301836	2205	0.0073
433333	357477	317565	2037	0.0064
433337	114656	107540	611	0.0057
437011	341426	311625	1458	0.0047
439030	267878	250657	1120	0.0045
441009	209413	196599	940	0.0048
441456	251444	231009	1431	0.0062
445170	179670	161944	972	0.006
445534	361486	323020	1779	0.0055
463511	378294	357563	1353	0.0038
465694	125191	119614	539	0.0045
471635	144322	132464	741	0.0056
471732	252238	234493	1363	0.0058
472219	201689	190824	1015	0.0053
854448	159291	149482	946	0.0063
886061	307979	281119	1145	0.0041
886377	307211	277253	1692	0.0061
106647	210912	186214	964	0.0052
106796	62187	41411	160	0.0039
107175	249143	224901	844	0.0038
107293	325185	248570	1183	0.0048
107301	350972	221826	848	0.0038
107812	105029	95368	445	0.0047
107820	251090	227314	950	0.0042
107831	256597	237269	1357	0.0057
108165	264023	240073	1015	0.0042
108212	114002	92363	287	0.0031
108214	330519	303688	1639	0.0054
108222	238056	221295	980	0.0044
108326	281734	249863	1428	0.0057
108732	95029	88317	399	0.0045
108734	203677	184943	771	0.0042
108820	212994	181304	942	0.0052
109196	289002	262294	1178	0.0045
109205	249761	222334	1084	0.0049
109223	268392	243244	1138	0.0047
109239	45387	40989	125	0.003
109861	108189	99815	462	0.0046
109868	263187	238263	1144	0.0048
110228	260972	237718	1123	0.0047
110357	220180	197769	817	0.0041
110740	299602	249691	1160	0.0046
111270	100560	92414	314	0.0034
111295	120016	109088	449	0.0041
115332	91113	83271	323	0.0039
115356	190880	174420	800	0.0046
115372	123531	114779	748	0.0065
115380	237368	209210	1030	0.0049
115908	359589	325235	1465	0.0045
115919	240106	137255	644	0.0047
115983	131429	111480	480	0.0043
116006	99120	90932	443	0.0049
116375	282019	251507	1298	0.0052
117517	309775	283530	1279	0.0045
117559	135331	123979	531	0.0043
117900	240831	219911	871	0.004
213341	271723	239086	1174	0.0049
213374	83528	76396	268	0.0035
213546	57823	53842	195	0.0036
214303	164728	143105	616	0.0043
214317	154766	135968	742	0.0055
214349	149949	111956	313	0.0028
214376	461626	415043	1851	0.0045
214571	215447	191789	716	0.0037
215306	309618	271064	1135	0.0042
215401	188849	172110	834	0.0048
215419	240621	219499	883	0.004
215421	91175	84798	375	0.0044
215455	213559	193606	809	0.0042
215580	63929	56727	198	0.0035
215592	51033	46071	230	0.005
215624	202160	185846	647	0.0035
216472	257672	225439	1015	0.0045
216474	136330	125721	423	0.0034
216623	158332	145995	640	0.0044
216635	118986	106957	419	0.0039
216648	47019	43779	181	0.0041
216667	239428	213962	945	0.0044
217357	62150	56123	449	0.008
217405	264910	241142	936	0.0039
217419	229559	200482	882	0.0044
217500	109171	99157	293	0.003
218461	176008	164496	597	0.0036
218476	216461	84136	378	0.0045
218523	158316	146574	633	0.0043
218668	266176	244744	1071	0.0044
218683	122603	99972	504	0.005
219503	125130	115361	420	0.0036
219674	62629	58234	173	0.003
219741	264296	240036	1000	0.0042
220442	117534	107897	280	0.0026
220461	59167	54746	209	0.0038
220526	85673	78132	344	0.0044
220762	294240	251460	925	0.0037
221516	151085	107109	451	0.0042
221529	50255	44242	616	0.0139
221531	278300	249186	933	0.0037
221723	129436	117179	448	0.0038
221770	519871	239870	1342	0.0056
221773	55205	36647	106	0.0029
221807	49851	40887	168	0.0041
222473	73929	66362	211	0.0032
222589	138663	116338	393	0.0034
222605	260743	229621	1104	0.0048
222831	319961	287010	1470	0.0051
230683	65227	60573	150	0.0025
230765	90214	72324	249	0.0034
230809	267572	242819	824	0.0034
230955	101429	79691	314	0.0039
231755	237917	184694	885	0.0048
231816	268511	242817	859	0.0035
231967	79488	73391	299	0.0041
231976	224607	206144	749	0.0036
231998	363638	333774	1374	0.0041
232030	131564	120381	363	0.003
232765	253231	213829	947	0.0044
232766	81421	69579	260	0.0037
233743	173132	160569	657	0.0041
233771	73164	67552	231	0.0034
233807	322060	290830	1333	0.0046
234025	43613	39296	115	0.0029
234027	106933	91237	358	0.0039
234783	122292	108344	426	0.0039
235049	241294	210889	921	0.0044
235068	191217	174447	987	0.0057
235116	97030	85359	552	0.0065
235805	185942	174300	965	0.0055
235854	168890	156641	740	0.0047
235865	142274	128797	526	0.0041
235932	124888	106711	469	0.0044
235933	223192	192076	814	0.0042
236120	228708	205199	1251	0.0061
236139	272165	233739	1145	0.0049
26823	132468	123463	482	0.0039
26952	219219	198533	813	0.0041
27081	101304	90536	457	0.005
27439	338934	307295	945	0.0031
27555	99602	86609	303	0.0035
27562	134056	122610	434	0.0035
27680	95187	88094	411	0.0047
27683	224115	207019	978	0.0047
27690	88233	82163	292	0.0036
27723	132982	118070	464	0.0039
27852	420128	293627	1247	0.0042
29102	124315	114320	333	0.0029
29123	162242	148909	776	0.0052
29231	216285	198766	1034	0.0052
29232	77880	66569	299	0.0045
29234	229803	203368	1008	0.005
29360	328461	292854	1485	0.0051
29514	172625	156570	679	0.0043
426523	387246	340343	1555	0.0046
426545	104368	85770	437	0.0051
426585	118362	106309	404	0.0038
426616	95499	86391	377	0.0044
426738	129850	119125	472	0.004
426773	103749	92336	326	0.0035
426778	118958	100027	452	0.0045
426803	141763	131803	587	0.0045
427060	326884	208541	1057	0.0051
427062	315917	265940	1475	0.0055
427166	316993	256202	1096	0.0043
427224	157090	145155	705	0.0049
428563	261044	238249	1345	0.0056
428596	359206	323497	1287	0.004
428626	35975	32704	274	0.0084
428628	128877	118229	426	0.0036
428688	177086	163927	840	0.0051
428702	338021	278776	1067	0.0038
428795	272920	220452	724	0.0033
428851	239621	221050	1046	0.0047
428853	259148	234984	1108	0.0047
428856	214454	187934	841	0.0045
428863	94457	84124	350	0.0042
429150	158053	144220	822	0.0057
429151	162731	138862	538	0.0039
429174	83446	75119	202	0.0027
429214	287111	206209	968	0.0047
430615	331595	252828	1480	0.0059
430620	211857	170813	570	0.0033
430672	103764	89162	329	0.0037
430704	212683	197271	834	0.0042
430805	350229	316190	1863	0.0059
430836	102216	96105	415	0.0043
431226	89926	76866	296	0.0039
431291	100167	92967	352	0.0038
432767	238812	203538	734	0.0036
432788	191074	158850	511	0.0032
432821	284686	245596	753	0.0031
432892	193856	170624	712	0.0042
433201	300824	272086	1406	0.0052
433203	201606	183653	844	0.0046
433342	175183	161720	642	0.004
434739	48570	44476	145	0.0033
434776	233444	213356	990	0.0046
434898	196597	177863	1085	0.0061
435315	418404	343529	1457	0.0042
435322	271975	237951	1303	0.0055
436756	239778	216798	1242	0.0057
436794	109192	100063	437	0.0044
436852	263635	237225	1348	0.0057
436883	252109	217462	1210	0.0056
436955	156202	142141	507	0.0036
436957	106948	89866	386	0.0043
436978	178915	167727	941	0.0056
436986	164747	151429	875	0.0058
