rail_id	total_junc_counts	productive_counts	unproductive_counts	unprod_prod_ratio
106797	172309	137875	442	0.0032
110230	253959	182382	642	0.0035
110773	201643	173145	471	0.0027
110869	296353	237819	612	0.0026
116503	384856	308240	846	0.0027
118045	258490	208769	615	0.0029
214313	185413	148084	411	0.0028
214632	278264	225745	545	0.0024
216461	396466	305251	733	0.0024
219416	125152	103676	354	0.0034
220716	378352	283921	651	0.0023
220748	225678	181351	514	0.0028
231690	166428	144027	409	0.0028
231721	241018	194309	481	0.0025
231774	201572	163631	428	0.0026
231961	176547	149221	325	0.0022
231999	335157	261901	582	0.0022
233835	95203	81127	170	0.0021
26698	286587	243075	962	0.004
26796	343675	274682	979	0.0036
27045	285762	211409	565	0.0027
27302	180537	139971	315	0.0023
27689	190748	155163	348	0.0022
29506	49519	36380	67	0.0018
426556	231467	192982	666	0.0035
426686	328854	261362	585	0.0022
427192	297229	241377	681	0.0028
428667	225262	178771	456	0.0026
430878	258381	217443	735	0.0034
431198	180806	136977	195	0.0014
431252	286962	218310	431	0.002
432799	81058	64289	143	0.0022
434768	247643	202258	675	0.0033
435376	188953	149840	555	0.0037
435381	225083	181472	554	0.0031
436853	312261	262054	783	0.003
437052	108696	83063	113	0.0014
437433	217224	184486	578	0.0031
438938	360254	292013	862	0.003
441108	182534	146322	481	0.0033
443057	159964	139830	326	0.0023
461340	93978	71756	116	0.0016
461874	330008	270703	1054	0.0039
461949	124431	102428	209	0.002
463578	157308	121455	503	0.0041
464026	357930	290255	846	0.0029
465719	674420	529631	868	0.0016
466043	224212	181043	406	0.0022
467760	152611	112085	181	0.0016
467761	230017	177805	467	0.0026
468024	166265	136149	543	0.004
468083	171378	139102	300	0.0022
58207	203995	153600	487	0.0032
58262	66797	58339	175	0.003
59018	161970	134374	491	0.0037
853225	259626	206476	470	0.0023
861355	235137	189372	516	0.0027
861409	282668	222560	667	0.003
862502	335445	268482	643	0.0024
878817	156159	130194	347	0.0027
882022	207403	171377	392	0.0023
883044	287069	216898	647	0.003
886056	97910	79295	166	0.0021
891104	327534	269143	728	0.0027
